"place","pop2023","growthRate","area","country","cca3","cca2","ccn3","region","subregion","unMember","officialName","landAreaKm","density","densityMi","borders","Rank","MartialArtsByCountryOfOrigin"
356,1428627663,0.00808,3287590,"India","IND","IN",356,"Asia","Southern Asia, South Central Asia",true,"Republic of India",2973190,480.5033,1244.5036,"AFG, BGD, BTN, MMR, CHN, NPL, PAK, LKA",1,"Indian martial arts |\nMardani khel |\nMalla-yuddha |\nKalaripayattu |\nVajra-mushti |\nAdimurai |\nGatka"
156,1425671352,-0.00015,9706961,"China","CHN","CN",156,"Asia","Eastern Asia",true,"People's Republic of China",9424702.9,151.2696,391.7884,"AFG, BTN, MMR, HKG, IND, KAZ, PRK, KGZ, LAO, MAC, MNG, PAK, RUS, TJK, VNM",2,"Chinese martial arts |\nShaolin Kung Fu |\nBaguazhang |\nTai chi |\nBajiquan |\nWing Chun |\nShuai Jiao |\nChoy Gar |\nFut Gar"
840,339996563,0.00505,9372610,"United States","USA","US",840,"North America","Northern America",true,"United States of America",9147420,37.1686,96.2666,"CAN, MEX",3,"American Kenpo |\nChulukua |\nCollegiate wrestling |\nCombatives |\nEmerson Combat Systems |\nGouging (fighting style) |\nJeet Kune Do |\nJailhouse rock (fighting style) |\nLINE (combat system) |\nMarine Corps Martial Arts Program |\nModel Mugging |\nShootfighting |\nSpecial Combat Aggressive Reactionary System |\n10th Planet Jiu-Jitsu |\nWorld War II combatives"
360,277534122,0.00738,1904569,"Indonesia","IDN","ID",360,"Asia","South-Eastern Asia",true,"Republic of Indonesia",1877519,147.8196,382.8528,"TLS, MYS, PNG",4,"Indonesian martial arts |\nPencak silat |\nTarung Derajat"
566,223804632,0.02408,923768,"Nigeria","NGA","NG",566,"Africa","Western Africa, Sub-Saharan Africa",true,"Federal Republic of Nigeria",910770,245.7312,636.4439,"BEN, CMR, TCD, NER",6,"Dambe"
76,216422446,0.00515,8515767,"Brazil","BRA","BR",76,"South America","South America, Latin America",true,"Federative Republic of Brazil",8358140,25.8936,67.0645,"ARG, BOL, COL, GUF, GUY, PRY, PER, SUR, URY, VEN",7,"Brazilian jiu-jitsu |\nCapoeira |\nHuka-huka |\nKnife Fight - Esgrima Crioula |\nLuta Livre |\nVale Tudo"
50,172954319,0.01033,147570,"Bangladesh","BGD","BD",50,"Asia","Southern Asia, South Central Asia",true,"People's Republic of Bangladesh",130170,1328.6803,3441.2821,"MMR, IND",8,"Bangladeshi martial arts |\nButthan"
643,144444359,-0.00186,17098242,"Russia","RUS","RU",643,"Europe","Eastern Europe",true,"Russian Federation",16376870,8.82,22.8439,"AZE, BLR, CHN, EST, FIN, GEO, KAZ, PRK, LVA, LTU, MNG, NOR, POL, UKR",9,"Russian martial arts |\nSambo |\nSystema"
392,123294513,-0.0053,377930,"Japan","JPN","JP",392,"Asia","Eastern Asia",true,"Japan",364500,338.2566,876.0845,"",12,"Japanese martial arts |\nAikido |\nJudo |\nNinjutsu |\nKenjutsu |\nKarate |\nSojutsu |\nNaginatajutsu |\nBojutsu |\nOkinawan kobudo |\nIaido |\nKusarigamajutsu |\nKendo |\nKyudo |\nTessenjutsu |\nShurikenjutsu |\nBajutsu |\nJujutsu |\nTaidō |\nKūdō"
608,117337368,0.01539,342353,"Philippines","PHL","PH",608,"Asia","South-Eastern Asia",true,"Republic of the Philippines",298170,393.5251,1019.2299,"",13,"Filipino martial arts |\nYaw-Yan"
